사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Oct-25,2호선,238,합정,124,2,9808,2830,15823,12927,36093,29192,46576,81481,33474,79466,27683,52340,31707,50037,36967,53886,40635,60301,43343,54179,49061,56724,58454,66202,76021,82906,105796,108768,73636,74797,62073,44271,66512,35188,63158,31828,32923,22655,5684,7177,6,326,0,0,0,0
Oct-25,2호선,239,홍대입구,877,44,23132,3336,28183,17170,56627,39765,74500,104390,62866,142416,61168,120295,70328,143477,84106,166849,100783,179853,113899,175711,135247,175377,167579,183850,192588,207817,214296,235459,181581,176070,176469,112492,193503,91787,182463,75636,88611,51765,11342,19331,13,1600,0,0,0,0
Oct-25,2호선,240,신촌,66,9,6511,2463,13210,14286,33747,34034,50036,81689,40492,89365,41545,72196,49735,63577,60374,67194,66713,72303,68556,66749,75998,63767,89247,69942,101479,86771,98292,108682,70779,74346,72719,47933,73777,42155,69096,38142,30894,25733,5052,6399,2,149,0,0,0,0
Oct-25,2호선,241,이대,34,0,3164,766,8777,7016,26045,15131,36436,42888,24258,47149,20850,37540,23358,28451,30653,31028,29938,33195,28521,27252,35654,28715,39245,30295,47734,37347,43000,48038,27065,33701,23032,23785,23240,23051,18918,22238,7676,15799,955,4214,0,137,0,0,0,0
Oct-25,2호선,242,아현,6,0,4660,883,10561,4661,29688,10162,41215,19103,25494,13872,18701,12265,18077,11206,19233,12826,18778,14159,16541,15191,18528,17515,20666,20414,20593,26104,19249,34127,12595,25258,8931,18075,7314,16505,5229,14684,2130,8152,339,2334,2,61,0,0,0,0
Oct-25,2호선,243,충정로(경기대입구),18,2,3243,881,6219,6409,14773,23776,21459,56111,14896,25856,11995,12050,12709,10510,13288,11181,13237,12880,13453,11436,14098,12537,17888,14306,32179,17503,42146,20787,14425,14210,9927,10471,8422,10495,5659,9334,2653,5702,484,1671,1,68,0,0,0,0
Oct-25,2호선,244,용답,25,0,2325,384,3255,1196,7352,1805,13090,3202,7368,3993,5630,3190,5246,3121,5308,3442,5607,3831,4764,4059,5103,4956,5889,6372,5461,7183,4269,10578,2664,7329,1946,5740,1544,6139,1244,5783,550,3354,121,863,0,0,0,0,0,0
Oct-25,2호선,245,신답,13,1,1165,49,2040,490,6307,981,10253,1520,4795,926,2891,1059,2457,1196,2517,1499,2377,1606,2011,2084,2037,2957,2093,4015,2086,5157,2001,9525,970,6330,621,3727,453,3747,358,3113,194,1780,29,467,0,0,0,0,0,0
Oct-25,2호선,246,신설동,61,5,1159,282,1482,1688,4711,4738,8803,11244,5802,7940,5599,7391,6479,7326,7613,7577,8080,8002,8813,6498,9032,6116,9402,5467,11283,5927,11021,6987,4581,5574,2933,4080,2339,3671,1619,3573,655,2283,92,837,0,132,0,0,0,0
Oct-25,2호선,247,도림천,1,1,340,292,1349,742,3284,3259,3308,5156,2279,1981,1956,1460,2038,1467,1992,1587,1751,2072,2550,1982,2377,1686,2661,1986,3006,2418,3404,3291,1413,2564,1053,1864,780,1550,501,1317,213,911,48,267,0,18,0,0,0,0
Oct-25,2호선,248,양천구청,23,0,4680,790,11210,2392,29440,4941,27421,8794,16472,5975,12244,4420,10703,5273,11485,6659,10944,7953,8190,9290,8031,11460,8546,14809,8472,19883,8342,27895,4046,22424,3012,13786,2407,12002,2137,9859,654,6949,129,1951,0,20,0,0,0,0
Oct-25,2호선,249,신정네거리,82,2,7999,814,16862,2274,45456,4290,41379,11405,23842,8555,17779,7805,16869,8790,16796,10549,15167,12315,13409,13968,12676,17562,13018,22516,12213,30323,10998,44653,6926,32245,5537,20214,4257,16768,3396,15488,1429,9796,259,2559,0,89,0,0,0,0
Oct-25,2호선,250,용두(동대문구청),62,2,975,81,1735,799,5362,2373,9007,5067,5292,4474,4325,4018,4731,4556,5499,4434,5346,5681,5837,5703,6330,5838,6409,5604,5992,6151,5645,8417,2852,5666,1939,3664,1990,3147,782,2518,251,1460,56,467,0,6,0,0,0,0
Oct-25,3호선,309,지축,34,1,2988,757,10517,4205,28890,5521,29309,11930,16270,7693,11880,6978,10362,6730,11437,8007,10337,9253,9836,9453,10583,11751,11726,14835,12465,19408,10732,28695,7160,22084,5794,15060,5508,12949,3775,10843,1763,6416,311,975,0,0,0,0,0,0
Oct-25,3호선,310,구파발,137,2,12374,1684,31678,10597,75563,20920,74594,30138,44970,28555,32860,30425,33297,28459,34199,30264,33508,30881,34992,32980,39017,34419,43692,42897,41423,50588,32878,72600,22699,57815,17290,34560,14627,30673,11248,27606,3110,18787,562,7060,0,131,0,0,0,0
Oct-25,3호선,311,연신내,336,7,23738,2420,45664,13795,108452,28293,132776,44089,83776,40633,62560,37830,60508,40747,65441,43620,60068,46930,56316,51320,58052,62407,65069,74740,61767,89963,57749,126489,39219,101197,31291,63624,27373,57762,22807,49892,11079,31994,1752,9919,5,9,0,0,0,0
Oct-25,3호선,312,불광,34,2,9322,1326,17760,6021,47570,10622,57165,30558,35782,28300,27357,24746,26410,25321,28221,27079,28082,29561,27921,29282,30048,32457,31207,37492,31094,41457,29929,56517,16622,41922,13707,27633,10875,23787,7608,21178,3161,12979,457,3686,0,0,0,0,0,0
Oct-25,3호선,313,녹번,83,3,9109,480,22877,3466,63926,7606,69616,14939,41180,10399,27548,9087,24278,10491,24028,12983,21569,14711,18704,17200,18091,22310,18719,29332,17974,36315,18144,57727,9703,45101,6923,29374,5685,26147,4112,22838,1569,13454,246,3300,0,0,0,0,0,0
Oct-25,3호선,314,홍제,95,9,9680,1269,22880,6006,59764,10612,66228,24602,44086,20286,34215,19306,31401,19920,32865,21148,30508,23476,28172,26281,29007,31923,30628,37817,29820,44689,27600,61846,15659,48468,12307,31015,9581,27990,6612,22966,2671,13770,345,3313,0,0,0,0,0,0
